date_month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1965-05-01,6.68,10.0,4.0,1.0,0.0
1965-06-01,3.3899999999999997,5.0,1.0,1.0,0.0
1965-07-01,9.23,8.0,4.0,2.0,0.0
1965-08-01,8.97,8.0,4.0,3.0,0.0
1965-09-01,11.58,11.0,8.0,5.0,0.0
1965-10-01,1.75,3.0,1.0,0.0,0.0
1965-11-01,9.32,12.0,5.0,3.0,0.0
1965-12-01,8.97,17.0,8.0,1.0,0.0
1966-01-01,7.15,12.0,5.0,3.0,0.0
1966-02-01,4.95,12.0,1.0,1.0,0.0
1966-03-01,1.59,3.0,1.0,0.0,0.0
1966-04-01,9.23,11.0,7.0,3.0,0.0
1966-05-01,3.3200000000000003,8.0,3.0,0.0,0.0
1966-06-01,4.29,6.0,6.0,0.0,0.0
1966-07-01,9.540000000000001,10.0,4.0,3.0,0.0
1966-08-01,5.8100000000000005,8.0,3.0,2.0,0.0
1966-09-01,2.2399999999999998,6.0,1.0,1.0,0.0
1966-10-01,11.07,11.0,8.0,3.0,0.0
1966-11-01,6.0,11.0,3.0,2.0,0.0
1966-12-01,7.07,15.0,7.0,1.0,0.0
1967-01-01,2.46,7.0,2.0,0.0,0.0
1967-02-01,2.84,7.0,2.0,0.0,0.0
1967-03-01,2.3899999999999997,7.0,0.0,0.0,0.0
1967-04-01,3.12,8.0,2.0,1.0,0.0
1967-05-01,7.93,12.0,6.0,2.0,0.0
1967-06-01,1.03,3.0,1.0,0.0,0.0
1967-07-01,0.9099999999999999,2.0,0.0,0.0,0.0
1967-08-01,5.46,9.0,4.0,3.0,0.0
1967-09-01,7.720000000000001,9.0,6.0,3.0,0.0
1967-10-01,10.32,13.0,7.0,4.0,0.0
1967-11-01,5.04,8.0,2.0,2.0,0.0
1967-12-01,6.029999999999999,14.0,4.0,1.0,0.0
1968-01-01,6.540000000000001,15.0,5.0,2.0,0.0
1968-02-01,6.2299999999999995,10.0,6.0,1.0,0.0
1968-03-01,3.8299999999999996,7.0,4.0,1.0,0.0
1968-04-01,4.13,7.0,2.0,1.0,0.0
1968-05-01,2.6399999999999997,8.0,2.0,0.0,0.0
1968-06-01,3.91,8.0,3.0,0.0,0.0
1968-07-01,3.2399999999999998,6.0,3.0,0.0,0.0
1968-08-01,12.48,10.0,5.0,4.0,0.0
1968-09-01,8.8,14.0,6.0,4.0,0.0
1968-10-01,3.7600000000000002,9.0,2.0,0.0,0.0
1968-11-01,3.3299999999999996,7.0,2.0,1.0,0.0
1968-12-01,5.2299999999999995,13.0,4.0,1.0,0.0
1969-01-01,2.6100000000000003,9.0,1.0,1.0,0.0
1969-02-01,2.2,7.0,1.0,0.0,0.0
1969-03-01,4.79,9.0,2.0,2.0,0.0
1969-04-01,3.69,7.0,4.0,0.0,0.0
1969-05-01,7.459999999999999,14.0,7.0,2.0,0.0
1969-06-01,4.39,8.0,2.0,1.0,0.0
1969-07-01,2.65,7.0,2.0,0.0,0.0
1969-08-01,8.61,8.0,3.0,2.0,0.0
1969-09-01,3.09,3.0,2.0,1.0,0.0
1969-10-01,0.5700000000000001,2.0,0.0,0.0,0.0
1969-11-01,7.92,14.0,6.0,3.0,0.0
1969-12-01,6.12,11.0,6.0,1.0,0.0
1970-01-01,5.09,8.0,4.0,1.0,0.0
1970-02-01,10.91,19.0,8.0,3.0,0.0
1970-03-01,6.38,15.0,3.0,2.0,0.0
1970-04-01,7.17,14.0,4.0,2.0,0.0
1970-05-01,3.37,8.0,2.0,0.0,0.0
1970-06-01,7.07,10.0,2.0,2.0,0.0
1970-07-01,4.0600000000000005,6.0,2.0,1.0,0.0
1970-08-01,5.4,11.0,3.0,2.0,0.0
1970-09-01,1.03,3.0,1.0,0.0,0.0
1970-10-01,1.94,3.0,2.0,0.0,0.0
1970-11-01,4.9,11.0,4.0,1.0,0.0
